target	model	t_id	m_id	residue_residue_cadscore	residue_residue_F1_of_areas	residue_residue_target_area	residue_residue_model_area	residue_residue_TP_area	residue_residue_FP_area	residue_residue_FN_area	chain_chain_cadscore	chain_chain_F1_of_areas	chain_chain_target_area	chain_chain_model_area	chain_chain_TP_area	chain_chain_FP_area	chain_chain_FN_area	identity_of_residues	identity_of_atoms	identity_of_chains
9DXD-assembly1.cif	M1239v1TS028_1	214	6	0	0	14204.698146	0	0	14044.199638	14204.698146	0	0	14204.698146	0	0	14044.199638	14204.698146	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v1TS028_1	215	6	0	0	14222.136574	0	0	14044.199638	14222.136574	0	0	14222.136574	0	0	14044.199638	14222.136574	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v1TS028_2	214	7	0	0	14204.698146	0	0	13938.476892	14204.698146	0	0	14204.698146	0	0	13938.476892	14204.698146	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v1TS028_2	215	7	0	0	14222.136574	0	0	13938.476892	14222.136574	0	0	14222.136574	0	0	13938.476892	14222.136574	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v1TS028_3	214	8	0	0	14204.698146	0	0	13556.540966	14204.698146	0	0	14204.698146	0	0	13556.540966	14204.698146	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v1TS028_3	215	8	0	0	14222.136574	0	0	13556.540966	14222.136574	0	0	14222.136574	0	0	13556.540966	14222.136574	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v1TS028_4	214	9	0	0	14204.698146	0	0	14000.560356	14204.698146	0	0	14204.698146	0	0	14000.560356	14204.698146	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v1TS028_4	215	9	0	0	14222.136574	0	0	14000.560356	14222.136574	0	0	14222.136574	0	0	14000.560356	14222.136574	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v1TS028_5	214	10	0	0	14204.698146	0	0	14906.184526	14204.698146	0	0	14204.698146	0	0	14906.184526	14204.698146	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v1TS028_5	215	10	0	0	14222.136574	0	0	14906.184526	14222.136574	0	0	14222.136574	0	0	14906.184526	14222.136574	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v1TS033_1	214	11	0	0	14204.698146	0	0	14897.813714	14204.698146	0	0	14204.698146	0	0	14897.813714	14204.698146	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v1TS033_1	215	11	0	0	14222.136574	0	0	14897.813714	14222.136574	0	0	14222.136574	0	0	14897.813714	14222.136574	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v1TS033_2	214	12	0	0	14204.698146	0	0	13936.27523	14204.698146	0	0	14204.698146	0	0	13936.27523	14204.698146	41.531948	36.425846	25
