model	rmsd
model_1a30_128.cif	7.02
model_1a30_130.cif	2.09
model_1a30_139.cif	3.03
model_1a30_140.cif	2.70
model_1a30_144.cif	2.91
model_1a30_167.cif	5.28
model_1a30_170.cif	2.97
model_1a30_186.cif	4.12
model_1a30_187.cif	5.14
model_1a30_22.cif	3.87
model_1a30_221.cif	4.59
model_1a30_222.cif	4.47
model_1a30_267.cif	3.76
model_1a30_270.cif	8.26
model_1a30_284.cif	3.70
model_1a30_296.cif	4.51
model_1a30_314.cif	4.03
model_1a30_319.cif	5.03
model_1a30_336.cif	3.00
model_1a30_348.cif	2.09
model_1a30_35.cif	3.57
model_1a30_353.cif	3.15
model_1a30_388.cif	4.55
model_1a30_407.cif	6.42
model_1a30_418.cif	6.02
model_1a30_450.cif	6.07
model_1a30_452.cif	2.74
model_1a30_490.cif	1.79
model_1a30_498.cif	4.52
model_1a30_538.cif	4.19
model_1a30_559.cif	6.23
model_1a30_569.cif	5.07
model_1a30_577.cif	6.78
model_1a30_6.cif	9.65
model_1a30_653.cif	5.80
model_1a30_664.cif	5.14
model_1a30_667.cif	3.51
model_1a30_670.cif	5.53
model_1a30_671.cif	2.01
model_1a30_704.cif	1.90
model_1a30_705.cif	1.79
model_1a30_706.cif	1.81
model_1a30_709.cif	1.91
model_1a30_712.cif	1.93
model_1a30_718.cif	1.95
model_1a30_731.cif	1.84
model_1a30_733.cif	9.15
model_1a30_736.cif	9.00
model_1a30_743.cif	1.88
model_1a30_744.cif	9.05
model_1a30_747.cif	8.77
model_1a30_75.cif	8.07
model_1a30_754.cif	8.76
model_1a30_759.cif	4.15
model_1a30_797.cif	2.82
model_1a30_828.cif	3.53
model_1a30_86.cif	2.29
model_1a30_868.cif	5.56
model_1a30_87.cif	9.32
model_1a30_883.cif	5.48
model_1a30_899.cif	5.38
model_1a30_90.cif	3.87
model_1a30_920.cif	8.58
model_1a30_935.cif	9.20
model_1a30_938.cif	9.21
model_1a30_940.cif	4.12
