input	ost_ilddt	ost_qs_global	ost_qs_best	ost_ics	ost_ips	ost_dockq_ave	ost_dockq_wave	ost_dockq_ave_full	ost_dockq_wave_full	ost_tm_score
H0208TS015_2__H0208TS208_2	0.101	0.205	0.348	0.127	0.256	0.149	0.149	0.03	0.06	0.404
H0208TS015_3__H0208TS187_1	0.091	0.184	0.323	0.11	0.211	0.24	0.24	0.048	0.102	0.401
H0208TS022_1__H0208TS163_4	0.784	0.414	0.851	0.475	0.361	0.587	0.587	0.587	0.587	0.95
H0208TS023_2__H0208TS393_5	0.057	0.046	0.046	0.019	0.164	0.03	0.03	0.03	0.03	0.444
H0208TS023_2__H0208TS397_3	0.058	0.048	0.048	0.019	0.172	0.03	0.03	0.03	0.03	0.448
H0208TS023_4__H0208TS419_3	0.012	0.0	0.0	0.0	0.168	0.02	0.02	0.02	0.02	0.428
H0208TS028_4__H0208TS311_4	0.121	0.168	0.825	0.21	0.149	0.633	0.633	0.035	0.104	0.239
H0208TS040_2__H0208TS022_4	0.112	0.034	0.034	0.0	0.333	0.086	0.086	0.086	0.086	0.686
H0208TS040_4__H0208TS301_1	0.23	0.19	0.19	0.052	0.381	0.115	0.115	0.115	0.115	0.718
H0208TS051_1__H0208TS028_2	0.949	0.463	0.968	0.58	0.415	0.879	0.894	0.879	0.894	0.984
H0208TS051_4__H0208TS163_2	0.861	0.448	0.948	0.524	0.375	0.587	0.587	0.587	0.587	0.967
H0208TS052_3__H0208TS284_4	0.805	0.878	0.878	0.826	0.809	0.707	0.707	0.707	0.707	0.965
H0208TS052_4__H0208TS393_6	0.824	0.893	0.893	0.838	0.823	0.828	0.828	0.828	0.828	0.98
H0208TS059_1__H0208TS221_3	0.806	0.863	0.863	0.776	0.832	0.734	0.734	0.734	0.734	0.961
H0208TS075_3__H0208TS312_1	0.928	0.963	0.963	0.88	0.875	0.911	0.911	0.911	0.911	0.986
H0208TS079_1__H0208TS196_3	0.91	0.952	0.952	0.9	0.91	0.891	0.891	0.891	0.891	0.98
