threshold_percents	cluster_id	representative	cluster_size

10	1	M1239v2TS033_5	196
10	2	M1239v1TS462_1	3
10	3	M1239v1TS481_5	3

20	1	M1239v2TS033_1	169
20	2	M1239v1TS241_2	26
20	3	M1239v1TS241_1	4
20	4	M1239v1TS481_5	3

30	1	M1239v1TS167_4	143
30	2	M1239v2TS231_3	43
30	3	M1239v1TS235_2	6
30	4	M1239v2TS241_2	4
30	5	M1239v1TS304_2	2
30	6	M1239v1TS462_1	2
30	7	M1239v1TS481_5	2

40	1	M1239v1TS033_1	121
40	2	M1239v1TS028_1	34
40	3	M1239v1TS241_5	13
40	4	M1239v1TS235_1	10
40	5	M1239v1TS272_1	10
40	6	M1239v1TS091_3	4
40	7	M1239v1TS241_1	4
40	8	M1239v2TS241_5	3
40	9	M1239v1TS481_5	2
40	10	M1239v2TS286_1	1

50	1	M1239v2TS167_2	103
50	2	M1239v1TS028_1	34
50	3	M1239v2TS262_2	13
50	4	M1239v1TS241_2	12
50	5	M1239v1TS235_1	10
50	6	M1239v1TS272_1	10
50	7	M1239v1TS091_3	4
50	8	M1239v1TS033_4	3
50	9	M1239v1TS241_1	3
50	10	M1239v1TS241_4	3
50	11	M1239v1TS262_1	2
50	12	M1239v1TS304_3	1
50	13	M1239v1TS481_5	1
50	14	M1239v2TS241_1	1
50	15	M1239v2TS286_1	1
50	16	M1239v2TS481_5	1

60	1	M1239v2TS028_3	73
60	2	M1239v2TS033_4	25
60	3	M1239v2TS028_2	23
60	4	M1239v1TS028_5	11
60	5	M1239v2TS241_3	11
60	6	M1239v1TS272_1	10
60	7	M1239v2TS235_1	10
60	8	M1239v2TS294_1	9
60	9	M1239v1TS033_4	4
60	10	M1239v1TS262_5	3
60	11	M1239v1TS286_1	3
60	12	M1239v1TS091_3	2
60	13	M1239v1TS091_4	2
60	14	M1239v1TS241_1	2
60	15	M1239v1TS262_1	2
60	16	M1239v2TS241_2	2
60	17	M1239v1TS241_4	1
60	18	M1239v1TS304_2	1
60	19	M1239v1TS304_3	1
60	20	M1239v1TS304_4	1
60	21	M1239v1TS462_5	1
60	22	M1239v1TS481_5	1
60	23	M1239v2TS241_1	1
60	24	M1239v2TS286_1	1
60	25	M1239v2TS286_3	1
60	26	M1239v2TS481_5	1

70	1	M1239v1TS369_5	39
70	2	M1239v2TS489_4	24
70	3	M1239v2TS167_3	16
70	4	M1239v1TS110_5	11
70	5	M1239v1TS110_2	11
70	6	M1239v1TS272_4	10
70	7	M1239v1TS028_5	10
70	8	M1239v1TS110_3	7
70	9	M1239v2TS304_1	7
70	10	M1239v1TS204_2	3
70	11	M1239v1TS286_1	3
70	12	M1239v1TS462_2	3
70	13	M1239v2TS262_1	3
70	14	M1239v1TS091_2	2
70	15	M1239v1TS091_3	2
70	16	M1239v1TS091_4	2
70	17	M1239v1TS235_3	2
70	18	M1239v1TS262_1	2
70	19	M1239v1TS262_2	2
70	20	M1239v1TS286_4	2
70	21	M1239v2TS167_5	2
70	22	M1239v2TS208_1	2
70	23	M1239v2TS241_2	2
70	24	M1239v2TS241_4	2
70	25	M1239v2TS262_2	2
70	26	M1239v1TS033_4	1
70	27	M1239v1TS235_1	1
70	28	M1239v1TS235_2	1
70	29	M1239v1TS235_4	1
70	30	M1239v1TS235_5	1
70	31	M1239v1TS241_1	1
70	32	M1239v1TS241_2	1
70	33	M1239v1TS241_3	1
70	34	M1239v1TS241_4	1
70	35	M1239v1TS262_4	1
70	36	M1239v1TS286_2	1
70	37	M1239v1TS286_3	1
70	38	M1239v1TS286_5	1
70	39	M1239v1TS294_1	1
70	40	M1239v1TS304_2	1
70	41	M1239v1TS304_3	1
70	42	M1239v1TS304_4	1
70	43	M1239v1TS304_5	1
70	44	M1239v1TS462_5	1
70	45	M1239v1TS481_3	1
70	46	M1239v1TS481_5	1
70	47	M1239v2TS033_2	1
70	48	M1239v2TS235_1	1
70	49	M1239v2TS235_2	1
70	50	M1239v2TS235_3	1
70	51	M1239v2TS235_5	1
70	52	M1239v2TS241_1	1
70	53	M1239v2TS286_1	1
70	54	M1239v2TS286_3	1
70	55	M1239v2TS481_4	1
70	56	M1239v2TS481_5	1

80	1	M1239v1TS369_3	18
80	2	M1239v1TS272_4	10
80	3	M1239v1TS167_2	5
80	4	M1239v1TS159_2	4
80	5	M1239v1TS489_1	6
80	6	M1239v1TS028_4	3
80	7	M1239v1TS033_1	3
80	8	M1239v1TS110_2	3
80	9	M1239v1TS159_1	3
80	10	M1239v2TS208_4	3
80	11	M1239v2TS262_1	3
80	12	M1239v1TS028_5	2
80	13	M1239v1TS091_1	2
80	14	M1239v1TS091_2	2
80	15	M1239v1TS091_3	2
80	16	M1239v1TS091_4	2
80	17	M1239v1TS091_5	2
80	18	M1239v1TS110_4	2
80	19	M1239v1TS110_5	2
80	20	M1239v1TS204_1	2
80	21	M1239v1TS204_2	2
80	22	M1239v1TS208_2	2
80	23	M1239v1TS241_5	2
80	24	M1239v1TS262_1	2
80	25	M1239v1TS262_2	2
80	26	M1239v1TS369_4	2
80	27	M1239v2TS028_2	2
80	28	M1239v2TS167_2	2
80	29	M1239v2TS167_3	2
80	30	M1239v2TS167_4	2
80	31	M1239v2TS167_5	2
80	32	M1239v2TS262_2	2
80	33	M1239v1TS033_2	1
80	34	M1239v1TS033_3	1
80	35	M1239v1TS033_4	1
80	36	M1239v1TS033_5	1
80	37	M1239v1TS110_3	1
80	38	M1239v1TS204_3	1
80	39	M1239v1TS204_4	1
80	40	M1239v1TS204_5	1
80	41	M1239v1TS208_1	1
80	42	M1239v1TS231_1	1
80	43	M1239v1TS231_2	1
80	44	M1239v1TS235_1	1
80	45	M1239v1TS235_2	1
80	46	M1239v1TS235_3	1
80	47	M1239v1TS235_4	1
80	48	M1239v1TS235_5	1
80	49	M1239v1TS241_1	1
80	50	M1239v1TS241_2	1
80	51	M1239v1TS241_3	1
80	52	M1239v1TS241_4	1
80	53	M1239v1TS262_4	1
80	54	M1239v1TS286_1	1
80	55	M1239v1TS286_2	1
80	56	M1239v1TS286_3	1
80	57	M1239v1TS286_4	1
80	58	M1239v1TS286_5	1
80	59	M1239v1TS294_1	1
80	60	M1239v1TS294_5	1
80	61	M1239v1TS304_2	1
80	62	M1239v1TS304_3	1
80	63	M1239v1TS304_4	1
80	64	M1239v1TS304_5	1
80	65	M1239v1TS462_1	1
80	66	M1239v1TS462_2	1
80	67	M1239v1TS462_3	1
80	68	M1239v1TS462_4	1
80	69	M1239v1TS462_5	1
80	70	M1239v1TS481_2	1
80	71	M1239v1TS481_3	1
80	72	M1239v1TS481_4	1
80	73	M1239v1TS481_5	1
80	74	M1239v1TS489_5	1
80	75	M1239v2TS028_3	1
80	76	M1239v2TS028_5	1
80	77	M1239v2TS033_1	1
80	78	M1239v2TS033_2	1
80	79	M1239v2TS033_3	1
80	80	M1239v2TS033_4	1
80	81	M1239v2TS033_5	1
80	82	M1239v2TS110_4	1
80	83	M1239v2TS204_3	1
80	84	M1239v2TS204_4	1
80	85	M1239v2TS204_5	1
80	86	M1239v2TS208_2	1
80	87	M1239v2TS208_5	1
80	88	M1239v2TS231_1	1
80	89	M1239v2TS231_2	1
80	90	M1239v2TS231_3	1
80	91	M1239v2TS231_4	1
80	92	M1239v2TS231_5	1
80	93	M1239v2TS235_1	1
80	94	M1239v2TS235_2	1
80	95	M1239v2TS235_3	1
80	96	M1239v2TS235_4	1
80	97	M1239v2TS235_5	1
80	98	M1239v2TS241_1	1
80	99	M1239v2TS241_2	1
80	100	M1239v2TS241_3	1
80	101	M1239v2TS241_4	1
80	102	M1239v2TS241_5	1
80	103	M1239v2TS286_1	1
80	104	M1239v2TS286_2	1
80	105	M1239v2TS286_3	1
80	106	M1239v2TS286_4	1
80	107	M1239v2TS286_5	1
80	108	M1239v2TS294_1	1
80	109	M1239v2TS294_2	1
80	110	M1239v2TS294_3	1
80	111	M1239v2TS294_4	1
80	112	M1239v2TS294_5	1
80	113	M1239v2TS304_1	1
80	114	M1239v2TS304_2	1
80	115	M1239v2TS304_3	1
80	116	M1239v2TS304_4	1
80	117	M1239v2TS304_5	1
80	118	M1239v2TS462_1	1
80	119	M1239v2TS462_2	1
80	120	M1239v2TS462_3	1
80	121	M1239v2TS462_4	1
80	122	M1239v2TS481_1	1
80	123	M1239v2TS481_2	1
80	124	M1239v2TS481_3	1
80	125	M1239v2TS481_4	1
80	126	M1239v2TS481_5	1
80	127	M1239v2TS489_1	1
80	128	M1239v2TS489_2	1
80	129	M1239v2TS489_3	1
80	130	M1239v2TS489_4	1
80	131	M1239v2TS489_5	1

90	1	M1239v1TS272_4	8
90	2	M1239v1TS159_2	4
90	3	M1239v1TS033_1	3
90	4	M1239v1TS159_1	3
90	5	M1239v1TS028_5	2
90	6	M1239v1TS091_1	2
90	7	M1239v1TS091_2	2
90	8	M1239v1TS091_3	2
90	9	M1239v1TS091_4	2
90	10	M1239v1TS091_5	2
90	11	M1239v1TS110_4	2
90	12	M1239v1TS110_5	2
90	13	M1239v1TS167_1	2
90	14	M1239v1TS167_2	2
90	15	M1239v1TS167_3	2
90	16	M1239v1TS167_4	2
90	17	M1239v1TS167_5	2
90	18	M1239v1TS204_1	2
90	19	M1239v1TS204_2	2
90	20	M1239v1TS241_5	2
90	21	M1239v1TS262_1	2
90	22	M1239v1TS262_2	2
90	23	M1239v1TS272_3	2
90	24	M1239v1TS369_1	2
90	25	M1239v1TS369_2	2
90	26	M1239v1TS369_3	2
90	27	M1239v1TS369_4	2
90	28	M1239v1TS369_5	2
90	29	M1239v2TS167_2	2
90	30	M1239v2TS167_3	2
90	31	M1239v2TS167_4	2
90	32	M1239v2TS167_5	2
90	33	M1239v2TS262_2	2
90	34	M1239v1TS028_1	1
90	35	M1239v1TS028_2	1
90	36	M1239v1TS028_3	1
90	37	M1239v1TS028_4	1
90	38	M1239v1TS033_2	1
90	39	M1239v1TS033_3	1
90	40	M1239v1TS033_4	1
90	41	M1239v1TS033_5	1
90	42	M1239v1TS110_1	1
90	43	M1239v1TS110_2	1
90	44	M1239v1TS110_3	1
90	45	M1239v1TS204_3	1
90	46	M1239v1TS204_4	1
90	47	M1239v1TS204_5	1
90	48	M1239v1TS208_1	1
90	49	M1239v1TS208_2	1
90	50	M1239v1TS208_4	1
90	51	M1239v1TS231_1	1
90	52	M1239v1TS231_2	1
90	53	M1239v1TS235_1	1
90	54	M1239v1TS235_2	1
90	55	M1239v1TS235_3	1
90	56	M1239v1TS235_4	1
90	57	M1239v1TS235_5	1
90	58	M1239v1TS241_1	1
90	59	M1239v1TS241_2	1
90	60	M1239v1TS241_3	1
90	61	M1239v1TS241_4	1
90	62	M1239v1TS262_4	1
90	63	M1239v1TS286_1	1
90	64	M1239v1TS286_2	1
90	65	M1239v1TS286_3	1
90	66	M1239v1TS286_4	1
90	67	M1239v1TS286_5	1
90	68	M1239v1TS294_1	1
90	69	M1239v1TS294_2	1
90	70	M1239v1TS294_3	1
90	71	M1239v1TS294_4	1
90	72	M1239v1TS294_5	1
90	73	M1239v1TS304_2	1
90	74	M1239v1TS304_3	1
90	75	M1239v1TS304_4	1
90	76	M1239v1TS304_5	1
90	77	M1239v1TS462_1	1
90	78	M1239v1TS462_2	1
90	79	M1239v1TS462_3	1
90	80	M1239v1TS462_4	1
90	81	M1239v1TS462_5	1
90	82	M1239v1TS481_1	1
90	83	M1239v1TS481_2	1
90	84	M1239v1TS481_3	1
90	85	M1239v1TS481_4	1
90	86	M1239v1TS481_5	1
90	87	M1239v1TS489_1	1
90	88	M1239v1TS489_2	1
90	89	M1239v1TS489_3	1
90	90	M1239v1TS489_4	1
90	91	M1239v1TS489_5	1
90	92	M1239v2TS028_1	1
90	93	M1239v2TS028_2	1
90	94	M1239v2TS028_3	1
90	95	M1239v2TS028_4	1
90	96	M1239v2TS028_5	1
90	97	M1239v2TS033_1	1
