target	model	t_id	m_id	residue_residue_cadscore	renaming_of_model_chains
8BWL-assembly1.cif	afm_dropout_full_woTemplates_model_3_multimer_v1_pred_60.pdb	0	2470	0.763434	.
8BWL-assembly1.cif	afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_11.pdb	0	4426	0.760446	.
8BWL-assembly1.cif	afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_31.pdb	0	4448	0.756721	.
8BWL-assembly1.cif	afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_32.pdb	0	4449	0.753297	.
8BWL-assembly1.cif	cf_woTemplates_model_3_multimer_v1_pred_26.pdb	0	7457	0.752248	.
8BWL-assembly1.cif	afm_basic_model_4_multimer_v1_pred_42.pdb	0	641	0.751426	.
8BWL-assembly1.cif	cf_woTemplates_model_3_multimer_v1_pred_18.pdb	0	7448	0.750406	.
8BWL-assembly1.cif	afm_dropout_full_woTemplates_model_3_multimer_v1_pred_8.pdb	0	2478	0.750378	.
8BWL-assembly1.cif	cf_dropout_full_woTemplates_model_3_multimer_v1_pred_57.pdb	0	6486	0.75033	.
8BWL-assembly1.cif	afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_53.pdb	0	4472	0.750178	.
8BWL-assembly1.cif	afm_dropout_full_woTemplates_model_1_multimer_v1_pred_30.pdb	0	2035	0.749938	.
8BWL-assembly1.cif	afm_basic_model_4_multimer_v1_pred_21.pdb	0	618	0.748393	.
8BWL-assembly1.cif	afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_13.pdb	0	4428	0.748133	.
8BWL-assembly1.cif	afm_woTemplates_model_4_multimer_v1_pred_49.pdb	0	5673	0.747841	.
8BWL-assembly1.cif	afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_11.pdb	0	4225	0.747449	.
8BWL-assembly1.cif	afm_dropout_full_model_3_multimer_v1_pred_34.pdb	0	1436	0.747356	.
8BWL-assembly1.cif	afm_dropout_full_model_4_multimer_v1_pred_42.pdb	0	1646	0.747173	.
8BWL-assembly1.cif	afm_woTemplates_model_5_multimer_v3_pred_60.pdb	0	6021	0.747115	.
8BWL-assembly1.cif	afm_basic_model_4_multimer_v1_pred_8.pdb	0	669	0.746908	.
8BWL-assembly1.cif	afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_8.pdb	0	4488	0.746347	.
8BWL-assembly1.cif	afm_dropout_full_woTemplates_model_5_multimer_v1_pred_39.pdb	0	2848	0.745934	.
8BWL-assembly1.cif	cf_dropout_full_woTemplates_model_3_multimer_v1_pred_62.pdb	0	6492	0.745881	.
8BWL-assembly1.cif	afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_61.pdb	0	4481	0.745273	.
8BWL-assembly1.cif	cf_woTemplates_model_3_multimer_v1_pred_3.pdb	0	7461	0.745223	.
8BWL-assembly1.cif	afm_dropout_full_woTemplates_model_3_multimer_v1_pred_5.pdb	0	2458	0.744935	.
8BWL-assembly1.cif	afm_dropout_full_woTemplates_model_3_multimer_v1_pred_20.pdb	0	2426	0.744911	.
8BWL-assembly1.cif	afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_58.pdb	0	5013	0.744197	.
8BWL-assembly1.cif	afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_3.pdb	0	3977	0.744176	.
8BWL-assembly1.cif	afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_66.pdb	0	5022	0.744088	.
8BWL-assembly1.cif	afm_woTemplates_model_5_multimer_v3_pred_38.pdb	0	5996	0.743591	.
8BWL-assembly1.cif	cf_woTemplates_model_3_multimer_v1_pred_27.pdb	0	7458	0.743484	.
8BWL-assembly1.cif	afm_woTemplates_model_5_multimer_v3_pred_55.pdb	0	6015	0.743401	.
8BWL-assembly1.cif	afm_woTemplates_model_5_multimer_v3_pred_17.pdb	0	5973	0.743219	.
8BWL-assembly1.cif	afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_24.pdb	0	4038	0.742886	.
8BWL-assembly1.cif	afm_dropout_full_woTemplates_model_3_multimer_v1_pred_39.pdb	0	2446	0.742862	.
8BWL-assembly1.cif	afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_0.pdb	0	4222	0.742826	.
8BWL-assembly1.cif	cf_dropout_full_woTemplates_model_3_multimer_v1_pred_30.pdb	0	6457	0.74274	.
8BWL-assembly1.cif	afm_dropout_full_woTemplates_model_3_multimer_v1_pred_28.pdb	0	2434	0.742426	.
8BWL-assembly1.cif	cf_dropout_full_woTemplates_model_3_multimer_v1_pred_46.pdb	0	6474	0.742282	.
8BWL-assembly1.cif	afm_woTemplates_model_5_multimer_v3_pred_42.pdb	0	6001	0.742147	.
8BWL-assembly1.cif	cf_woTemplates_model_3_multimer_v1_pred_44.pdb	0	7477	0.742054	.
8BWL-assembly1.cif	afm_woTemplates_model_5_multimer_v3_pred_7.pdb	0	6028	0.741794	.
8BWL-assembly1.cif	afm_basic_model_4_multimer_v1_pred_25.pdb	0	622	0.741778	.
8BWL-assembly1.cif	afm_dropout_full_model_4_multimer_v1_pred_35.pdb	0	1638	0.741473	.
8BWL-assembly1.cif	afm_woTemplates_model_5_multimer_v3_pred_43.pdb	0	6002	0.741435	.
8BWL-assembly1.cif	afm_dropout_full_woTemplates_model_2_multimer_v1_pred_11.pdb	0	2215	0.741384	.
8BWL-assembly1.cif	afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_28.pdb	0	3975	0.741222	.
8BWL-assembly1.cif	afm_woTemplates_model_5_multimer_v3_pred_6.pdb	0	6020	0.741096	.
8BWL-assembly1.cif	afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_23.pdb	0	4439	0.740731	.
8BWL-assembly1.cif	afm_woTemplates_model_5_multimer_v3_pred_40.pdb	0	5999	0.740358	.
8BWL-assembly1.cif	afm_woTemplates_model_5_multimer_v3_pred_64.pdb	0	6025	0.740198	.
8BWL-assembly1.cif	afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_26.pdb	0	4978	0.740162	.
8BWL-assembly1.cif	afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_55.pdb	0	5010	0.740112	.
8BWL-assembly1.cif	afm_woTemplates_model_5_multimer_v3_pred_56.pdb	0	6016	0.740109	.
8BWL-assembly1.cif	afm_woTemplates_model_5_multimer_v3_pred_15.pdb	0	5971	0.740089	.
8BWL-assembly1.cif	afm_woTemplates_model_5_multimer_v3_pred_66.pdb	0	6027	0.740017	.
8BWL-assembly1.cif	afm_dropout_full_woTemplates_model_5_multimer_v3_pred_53.pdb	0	2998	0.73991	.
8BWL-assembly1.cif	afm_dropout_full_woTemplates_model_5_multimer_v3_pred_54.pdb	0	2999	0.739892	.
8BWL-assembly1.cif	afm_woTemplates_model_5_multimer_v3_pred_3.pdb	0	5987	0.739796	.
8BWL-assembly1.cif	afm_woTemplates_model_5_multimer_v3_pred_33.pdb	0	5991	0.739784	.
