input	ost_ilddt	ost_qs_global	ost_qs_best	ost_ics	ost_ips	ost_dockq_ave
H0208TS022_1__H0208TS163_4	0.784	0.414	0.851	0.475	0.361	0.587
H0208TS023_2__H0208TS393_5	0.057	0.046	0.046	0.019	0.164	0.03
H0208TS023_2__H0208TS397_3	0.058	0.048	0.048	0.019	0.172	0.03
H0208TS023_4__H0208TS419_3	0.012	0.0	0.0	0.0	0.168	0.02
H0208TS040_2__H0208TS022_4	0.112	0.034	0.034	0.0	0.333	0.086
H0208TS040_4__H0208TS301_1	0.23	0.19	0.19	0.052	0.381	0.115
H0208TS051_4__H0208TS163_2	0.861	0.448	0.948	0.524	0.375	0.587
H0208TS052_3__H0208TS284_4	0.805	0.878	0.878	0.826	0.809	0.707
H0208TS052_4__H0208TS393_6	0.824	0.893	0.893	0.838	0.823	0.828
H0208TS059_1__H0208TS221_3	0.806	0.863	0.863	0.776	0.832	0.734
H0208TS075_3__H0208TS312_1	0.928	0.963	0.963	0.88	0.875	0.911
H0208TS079_1__H0208TS196_3	0.91	0.952	0.952	0.9	0.91	0.891
H0208TS122_5__H0208TS023_2	0.035	0.051	0.051	0.026	0.165	0.033
H0208TS122_5__H0208TS272_2	0.88	0.914	0.914	0.872	0.822	0.763
H0208TS148_2__H0208TS079_4	0.865	0.955	0.955	0.878	0.875	0.775
H0208TS164_5__H0208TS163_2	0.991	0.99	0.99	0.965	0.956	0.982
H0208TS164_5__H0208TS494_4	0.809	0.911	0.911	0.828	0.876	0.741
H0208TS167_1__H0208TS196_4	0.141	0.121	0.121	0.08	0.391	0.063
H0208TS167_2__H0208TS345_3	0.702	0.795	0.795	0.739	0.738	0.367
H0208TS187_1__H0208TS219_5	0.17	0.297	0.297	0.136	0.372	0.114
H0208TS191_3__H0208TS023_2	0.036	0.047	0.047	0.019	0.165	0.034
H0208TS208_1__H0208TS148_5	0.898	0.955	0.955	0.89	0.93	0.907
H0208TS208_2__H0208TS122_5	0.81	0.873	0.873	0.824	0.838	0.77
H0208TS208_5__H0208TS167_3	0.746	0.825	0.825	0.735	0.831	0.672
H0208TS208_5__H0208TS196_2	0.82	0.867	0.867	0.78	0.835	0.687
H0208TS219_5__H0208TS419_1	0.499	0.503	0.503	0.44	0.55	0.204
H0208TS221_3__H0208TS110_4	0.002	0.0	0.0	0.0	0.344	0.004
H0208TS221_3__H0208TS267_1	0.854	0.897	0.897	0.816	0.844	0.73
H0208TS221_5__H0208TS208_5	0.867	0.931	0.931	0.875	0.915	0.837
H0208TS262_4__H0208TS052_4	0.681	0.848	0.848	0.765	0.788	0.469
H0208TS262_5__H0208TS312_2	0.794	0.894	0.894	0.816	0.827	0.579
H0208TS264_1__H0208TS369_4	0.862	0.91	0.91	0.851	0.887	0.859
H0208TS264_4__H0208TS191_2	0.73	0.883	0.883	0.805	0.788	0.555
H0208TS264_4__H0208TS304_4	0.879	0.922	0.922	0.852	0.889	0.883
H0208TS267_1__H0208TS284_5	0.793	0.811	0.811	0.781	0.77	0.602
H0208TS272_1__H0208TS040_2	0.001	0.0	0.0	0.0	0.09	0.009
H0208TS272_2__H0208TS023_5	0.006	0.0	0.0	0.0	0.086	0.018
H0208TS272_4__H0208TS075_1	0.745	0.872	0.872	0.812	0.846	0.705
H0208TS284_2__H0208TS014_4	0.754	0.232	0.93	0.286	0.206	0.87
H0208TS284_4__H0208TS163_4	0.891	0.439	0.958	0.539	0.376	0.842
H0208TS286_1__H0208TS164_4	0.002	0.0	0.0	0.0	0.37	0.004
H0208TS286_2__H0208TS122_2	0.848	0.825	0.825	0.783	0.803	0.62
H0208TS286_4__H0208TS400_1	0.347	0.41	0.41	0.26	0.54	0.309
H0208TS294_2__H0208TS369_2	0.828	0.885	0.885	0.831	0.842	0.809
H0208TS294_3__H0208TS494_4	0.764	0.412	0.846	0.44	0.336	0.678
H0208TS294_4__H0208TS122_5	0.837	0.915	0.915	0.871	0.871	0.7
H0208TS298_4__H0208TS261_4	0.667	0.683	0.683	0.598	0.669	0.529
H0208TS298_5__H0208TS423_2	0.759	0.83	0.83	0.784	0.83	0.669
H0208TS301_1__H0208TS388_4	0.751	0.844	0.844	0.771	0.843	0.702
H0208TS301_4__H0208TS164_4	0.002	0.0	0.0	0.0	0.364	0.004
H0208TS304_1__H0208TS284_2	0.77	0.839	0.839	0.774	0.8	0.64
H0208TS304_4__H0208TS261_2	0.63	0.747	0.747	0.612	0.764	0.542
H0208TS322_1__H0208TS241_1	0.766	0.813	0.813	0.76	0.785	0.576
H0208TS331_2__H0208TS221_3	0.793	0.86	0.86	0.808	0.822	0.6
H0208TS345_1__H0208TS051_1	1.0	1.0	1.0	1.0	1.0	1.0
H0208TS345_5__H0208TS272_3	0.062	0.073	0.073	0.038	0.417	0.032
H0208TS369_1__H0208TS052_1	0.937	0.965	0.965	0.913	0.922	0.935
H0208TS375_3__H0208TS014_5	0.232	0.045	0.136	0.019	0.078	0.151
H0208TS388_3__H0208TS400_1	0.846	0.92	0.92	0.879	0.921	0.838
H0208TS388_4__H0208TS221_3	0.776	0.871	0.871	0.806	0.831	0.743
H0208TS388_5__H0208TS264_4	0.757	0.875	0.875	0.773	0.803	0.722
H0208TS388_5__H0208TS494_5	0.739	0.432	0.871	0.445	0.36	0.778
H0208TS393_1__H0208TS079_4	0.839	0.949	0.949	0.875	0.848	0.739
H0208TS393_6__H0208TS075_4	0.867	0.961	0.961	0.872	0.86	0.78
H0208TS397_1__H0208TS147_5	0.828	0.176	0.871	0.237	0.149	0.739
H0208TS397_5__H0208TS148_5	0.763	0.799	0.799	0.71	0.797	0.654
H0208TS419_2__H0208TS312_3	0.855	0.899	0.899	0.83	0.828	0.826
H0208TS419_2__H0208TS375_4	0.856	0.884	0.884	0.818	0.811	0.647
H0208TS419_4__H0208TS311_4	0.844	0.868	0.868	0.81	0.835	0.778
H0208TS450_5__H0208TS375_5	0.875	0.944	0.944	0.89	0.885	0.815
H0208TS475_2__H0208TS298_3	0.834	0.907	0.907	0.865	0.891	0.843
H0208TS494_5__H0208TS164_1	0.724	0.869	0.869	0.746	0.801	0.605
H0215TS022_4__H0215TS197_1	0.01	0.004	0.004	0.0	0.127	0.009
H0215TS022_4__H0215TS264_5	0.038	0.011	0.011	0.0	0.239	0.013
H0215TS022_5__H0215TS393_1	0.071	0.154	0.154	0.121	0.455	0.171
H0215TS023_2__H0215TS028_2	0.009	0.0	0.0	0.0	0.188	0.009
H0215TS023_4__H0215TS163_5	0.04	0.009	0.035	0.0	0.098	0.012
H0215TS023_5__H0215TS298_5	0.009	0.0	0.0	0.0	0.11	0.011
H0215TS028_2__H0215TS052_4	0.194	0.163	0.163	0.22	0.585	0.132
H0215TS028_4__H0215TS264_2	0.074	0.197	0.197	0.09	0.339	0.129
H0215TS028_5__H0215TS028_4	0.004	0.0	0.0	0.0	0.172	0.008
H0215TS052_3__H0215TS028_5	0.0	0.0	0.0	0.0	0.113	0.007
H0215TS052_5__H0215TS298_5	0.257	0.454	0.454	0.194	0.39	0.286
H0215TS059_3__H0215TS462_3	0.06	0.018	0.018	0.0	0.193	0.023
H0215TS059_5__H0215TS323_2	0.042	0.001	0.001	0.0	0.163	0.016
H0215TS079_3__H0215TS221_1	0.158	0.235	0.235	0.082	0.356	0.084
H0215TS079_4__H0215TS274_1	0.04	0.01	0.01	0.0	0.122	0.013
H0215TS139_2__H0215TS494_1	0.131	0.019	0.019	0.0	0.151	0.028
H0215TS191_2__H0215TS052_5	0.017	0.0	0.0	0.0	0.14	0.01
H0215TS196_2__H0215TS148_2	0.244	0.395	0.395	0.156	0.524	0.151
H0215TS197_1__H0215TS298_3	0.031	0.028	0.028	0.0	0.164	0.014
H0215TS208_4__H0215TS262_3	0.002	0.0	0.0	0.0	0.225	0.007
H0215TS208_5__H0215TS147_4	0.01	0.0	0.0	0.0	0.13	0.008
H0215TS208_5__H0215TS388_5	0.0	0.0	0.0	0.0	0.0	0.013
H0215TS221_1__H0215TS139_3	0.252	0.449	0.449	0.228	0.408	0.21
H0215TS221_5__H0215TS015_2	0.082	0.003	0.003	0.0	0.125	0.026
H0215TS261_4__H0215TS148_2	0.001	0.0	0.0	0.0	0.0	0.017
H0215TS262_2__H0215TS164_5	0.0	0.0	0.0	0.0	0.072	0.007
H0215TS262_2__H0215TS267_2	0.502	0.625	0.625	0.578	0.613	0.389
H0215TS262_3__H0215TS261_2	0.058	0.066	0.066	0.015	0.117	0.023
H0215TS267_2__H0215TS262_5	0.484	0.615	0.615	0.454	0.542	0.366
H0215TS267_5__H0215TS319_1	0.07	0.008	0.008	0.0	0.272	0.023
H0215TS272_4__H0215TS397_2	0.001	0.0	0.0	0.0	0.05	0.008
H0215TS274_4__H0215TS264_3	0.009	0.002	0.002	0.0	0.155	0.013
H0215TS274_5__H0215TS494_5	1.0	1.0	1.0	1.0	1.0	1.0
H0215TS284_1__H0215TS028_1	0.212	0.126	0.126	0.119	0.388	0.102
H0215TS284_2__H0215TS272_3	0.006	0.0	0.0	0.0	0.105	0.012
H0215TS284_3__H0215TS312_3	0.032	0.001	0.001	0.0	0.165	0.012
H0215TS284_5__H0215TS322_1	0.025	0.0	0.0	0.0	0.174	0.014
H0215TS286_3__H0215TS052_1	0.235	0.176	0.176	0.143	0.512	0.133
