target	model	t_id	m_id	residue_residue_cadscore	residue_residue_F1_of_areas	residue_residue_target_area	residue_residue_model_area	residue_residue_TP_area	residue_residue_FP_area	residue_residue_FN_area	chain_chain_cadscore	chain_chain_F1_of_areas	chain_chain_target_area	chain_chain_model_area	chain_chain_TP_area	chain_chain_FP_area	chain_chain_FN_area	renaming_of_model_chains	identity_of_residues	identity_of_atoms	identity_of_chains
9DXD-assembly1.cif	M1239v1TS110_1	214	21	0.430376	0.526763	14204.698146	9651.413689	7518.223613	6822.049609	6686.474532	0.946716	0.965342	14204.698146	14340.273222	13777.832213	562.441009	426.865932	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=A,L=L	100	100	100
9DXF-assembly1.cif	M1239v1TS462_3	215	92	0.424216	0.524375	14222.136574	9676.08724	7465.409515	6786.029284	6756.727058	0.924633	0.947551	14222.136574	14251.438799	13490.077153	761.361647	732.059421	A=K,B=G,C=H,D=I,E=J,F=L,G=B,H=C,I=D,J=E,K=F,L=A	100	100	100
9DXD-assembly1.cif	M1239v1TS204_3	214	35	0.423506	0.518693	14204.698146	9691.867941	7477.633952	7150.251034	6727.064193	0.917855	0.944117	14204.698146	14627.884987	13610.667996	1017.216991	594.03015	A=L,B=G,C=H,D=D,E=E,F=A,G=B,H=C,I=I,J=J,K=F,L=K	100	100	100
9DXD-assembly1.cif	M1239v1TS369_2	214	81	0.423381	0.526274	14204.698146	9706.765853	7498.321256	6792.877331	6706.376889	0.931778	0.95451	14204.698146	14291.198587	13599.812366	691.386221	604.88578	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXD-assembly1.cif	M1239v2TS369_2	214	190	0.423381	0.526274	14204.698146	9706.765853	7498.321256	6792.877331	6706.376889	0.931778	0.95451	14204.698146	14291.198587	13599.812366	691.386221	604.88578	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXD-assembly1.cif	M1239v1TS091_5	214	20	0.422775	0.517172	14204.698146	10051.999054	7583.372588	7538.217532	6621.325557	0.94265	0.965141	14204.698146	15121.59012	14152.007302	969.582818	52.690843	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=A,L=L	100	100	100
9DXD-assembly1.cif	M1239v2TS091_5	214	125	0.422775	0.517172	14204.698146	10051.999054	7583.372588	7538.217532	6621.325557	0.94265	0.965141	14204.698146	15121.59012	14152.007302	969.582818	52.690843	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=A,L=L	100	100	100
9DXD-assembly1.cif	M1239v1TS167_5	214	32	0.421907	0.514868	14204.698146	9393.668401	7326.639106	6928.943544	6878.059039	0.941217	0.956666	14204.698146	14255.58265	13613.4954	642.087251	591.202746	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXD-assembly1.cif	M1239v1TS450_5	214	89	0.421907	0.514868	14204.698146	9393.668401	7326.639106	6928.943544	6878.059039	0.941217	0.956666	14204.698146	14255.58265	13613.4954	642.087251	591.202746	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXD-assembly1.cif	M1239v1TS369_1	214	80	0.421083	0.521922	14204.698146	9474.657745	7363.139062	6647.651614	6841.559084	0.936224	0.957967	14204.698146	14010.790676	13514.746598	496.044078	689.951548	A=L,B=G,C=H,D=D,E=E,F=A,G=B,H=C,I=I,J=J,K=F,L=K	100	100	100
9DXD-assembly1.cif	M1239v2TS369_1	214	189	0.421083	0.521922	14204.698146	9474.657745	7363.139062	6647.651614	6841.559084	0.936224	0.957967	14204.698146	14010.790676	13514.746598	496.044078	689.951548	A=L,B=G,C=H,D=D,E=E,F=A,G=B,H=C,I=I,J=J,K=F,L=K	100	100	100
9DXD-assembly1.cif	M1239v2TS110_3	214	128	0.419075	0.516625	14204.698146	9443.278955	7312.492211	6791.495165	6892.205934	0.930734	0.9563	14204.698146	14103.987377	13535.80087	568.186507	668.897275	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXD-assembly1.cif	M1239v1TS033_3	214	13	0.418537	0.524728	14204.698146	9977.722404	7505.030359	6895.672841	6699.667786	0.929374	0.95919	14204.698146	14400.7032	13719.005758	681.697442	485.692387	A=L,B=G,C=H,D=D,E=E,F=A,G=B,H=C,I=I,J=J,K=F,L=K	100	100	100
9DXD-assembly1.cif	M1239v1TS167_2	214	29	0.417671	0.516475	14204.698146	9464.689251	7343.28875	6888.174139	6861.409396	0.939629	0.962166	14204.698146	14231.462889	13680.158699	551.304191	524.539447	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXD-assembly1.cif	M1239v1TS450_2	214	86	0.417671	0.516475	14204.698146	9464.689251	7343.28875	6888.174139	6861.409396	0.939629	0.962166	14204.698146	14231.462889	13680.158699	551.304191	524.539447	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXD-assembly1.cif	M1239v1TS294_2	214	69	0.41755	0.511399	14204.698146	9413.11819	7289.473238	7013.803363	6915.224907	0.928751	0.946559	14204.698146	14303.276602	13492.237728	811.038874	712.460418	A=A,B=G,C=H,D=D,E=E,F=L,G=B,H=C,I=I,J=J,K=F,L=K	100	100	100
9DXD-assembly1.cif	M1239v1TS369_5	214	84	0.417322	0.515494	14204.698146	9695.665604	7442.59548	7228.301182	6762.102666	0.964436	0.96993	14204.698146	14670.896661	14003.657044	667.239617	201.041102	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXD-assembly1.cif	M1239v2TS369_5	214	193	0.417322	0.515494	14204.698146	9695.665604	7442.59548	7228.301182	6762.102666	0.964436	0.96993	14204.698146	14670.896661	14003.657044	667.239617	201.041102	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXD-assembly1.cif	M1239v1TS167_1	214	28	0.416751	0.508702	14204.698146	9450.533722	7279.320587	7135.168056	6925.377559	0.938609	0.950483	14204.698146	14414.488643	13601.026712	813.46193	603.671433	A=L,B=G,C=H,D=D,E=E,F=A,G=B,H=C,I=I,J=J,K=F,L=K	100	100	100
9DXD-assembly1.cif	M1239v1TS450_1	214	85	0.416751	0.508702	14204.698146	9450.533722	7279.320587	7135.168056	6925.377559	0.938609	0.950483	14204.698146	14414.488643	13601.026712	813.46193	603.671433	A=L,B=G,C=H,D=D,E=E,F=A,G=B,H=C,I=I,J=J,K=F,L=K	100	100	100
9DXD-assembly1.cif	M1239v1TS204_5	214	37	0.416614	0.511776	14204.698146	9497.427208	7313.125087	7061.554189	6891.573058	0.92276	0.943451	14204.698146	14374.679276	13481.626541	893.052735	723.071605	A=L,B=G,C=H,D=D,E=E,F=A,G=B,H=C,I=I,J=J,K=F,L=K	100	100	100
9DXD-assembly1.cif	M1239v1TS369_4	214	83	0.416366	0.528608	14204.698146	9927.446744	7568.276389	6861.767109	6636.421756	0.932192	0.954734	14204.698146	14430.043498	13669.28353	760.759968	535.414615	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXD-assembly1.cif	M1239v2TS369_4	214	192	0.416366	0.528608	14204.698146	9927.446744	7568.276389	6861.767109	6636.421756	0.932192	0.954734	14204.698146	14430.043498	13669.28353	760.759968	535.414615	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXD-assembly1.cif	M1239v1TS369_3	214	82	0.415698	0.512726	14204.698146	9488.667896	7324.270946	7040.927496	6880.4272	0.949339	0.9594	14204.698146	14365.198442	13704.986387	660.212055	499.711759	A=L,B=G,C=H,D=D,E=E,F=A,G=B,H=C,I=I,J=J,K=F,L=K	100	100	100
9DXD-assembly1.cif	M1239v2TS369_3	214	191	0.415698	0.512726	14204.698146	9488.667896	7324.270946	7040.927496	6880.4272	0.949339	0.9594	14204.698146	14365.198442	13704.986387	660.212055	499.711759	A=L,B=G,C=H,D=D,E=E,F=A,G=B,H=C,I=I,J=J,K=F,L=K	100	100	100
9DXD-assembly1.cif	M1239v1TS167_4	214	31	0.41563	0.510728	14204.698146	9766.028402	7399.625317	7372.440111	6805.072829	0.944096	0.960736	14204.698146	14772.065428	13919.505873	852.559555	285.192273	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXD-assembly1.cif	M1239v1TS450_4	214	88	0.41563	0.510728	14204.698146	9766.028402	7399.625317	7372.440111	6805.072829	0.944096	0.960736	14204.698146	14772.065428	13919.505873	852.559555	285.192273	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXF-assembly1.cif	M1239v1TS462_4	215	93	0.412245	0.514872	14222.136574	9566.639542	7341.983451	6955.527624	6880.153122	0.928318	0.951913	14222.136574	14297.511075	13574.10946	723.401614	648.027113	A=A,B=B,C=C,D=D,E=E,F=F,G=G,H=H,I=I,J=J,K=L,L=K	100	100	100
9DXD-assembly1.cif	M1239v1TS208_4	214	40	0.411899	0.513443	14204.698146	9599.400834	7304.042897	6942.476197	6900.655249	0.945117	0.961021	14204.698146	14246.519094	13671.103545	575.415549	533.594601	A=L,B=G,C=H,D=D,E=E,F=A,G=B,H=C,I=I,J=J,K=K,L=F	100	100	100
9DXD-assembly1.cif	M1239v2TS462_5	214	203	0.411742	0.513017	14204.698146	9484.816356	7310.581962	6985.089672	6894.116184	0.942788	0.95885	14204.698146	14295.671634	13663.792883	631.878751	540.905263	A=L,B=G,C=H,D=D,E=E,F=A,G=B,H=C,I=I,J=J,K=F,L=K	100	100	100
9DXF-assembly1.cif	M1239v1TS462_2	215	91	0.408676	0.504194	14222.136574	9723.650498	7306.22708	7453.433757	6915.909494	0.930125	0.949307	14222.136574	14759.660837	13756.313873	1003.346965	465.822701	A=A,B=G,C=H,D=D,E=E,F=L,G=B,H=C,I=I,J=J,K=F,L=K	100	100	100
9DXD-assembly1.cif	M1239v1TS167_3	214	30	0.408478	0.509371	14204.698146	9290.592765	7195.576861	6852.49894	7009.121285	0.932299	0.955257	14204.698146	14048.075801	13494.331379	553.744422	710.366767	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXD-assembly1.cif	M1239v1TS450_3	214	87	0.408478	0.509371	14204.698146	9290.592765	7195.576861	6852.49894	7009.121285	0.932299	0.955257	14204.698146	14048.075801	13494.331379	553.744422	710.366767	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXD-assembly1.cif	M1239v1TS159_2	214	27	0.408423	0.498308	14204.698146	9659.751866	7258.283691	7668.709961	6946.414455	0.938503	0.950959	14204.698146	14926.993652	13851.524954	1075.468698	353.173191	A=L,B=G,C=H,D=D,E=E,F=A,G=B,H=C,I=I,J=J,K=F,L=K	100	100	100
9DXD-assembly1.cif	M1239v1TS325_2	214	79	0.408423	0.498308	14204.698146	9659.751866	7258.283691	7668.709961	6946.414455	0.938503	0.950959	14204.698146	14926.993652	13851.524954	1075.468698	353.173191	A=L,B=G,C=H,D=D,E=E,F=A,G=B,H=C,I=I,J=J,K=F,L=K	100	100	100
