index	file	renaming_of_chains
0	8BWL-assembly1.cif	A=B,B=D,C=A,D=C
1	afm_basic_model_1_multimer_v1_pred_0.pdb	B=A,C=C,D=B,E=D
2	afm_basic_model_1_multimer_v1_pred_1.pdb	B=A,C=C,D=B,E=D
3	afm_basic_model_1_multimer_v1_pred_10.pdb	B=A,C=C,D=B,E=D
4	afm_basic_model_1_multimer_v1_pred_11.pdb	B=A,C=C,D=B,E=D
5	afm_basic_model_1_multimer_v1_pred_12.pdb	B=A,C=C,D=B,E=D
6	afm_basic_model_1_multimer_v1_pred_13.pdb	B=A,C=C,D=B,E=D
7	afm_basic_model_1_multimer_v1_pred_14.pdb	B=A,C=C,D=B,E=D
8	afm_basic_model_1_multimer_v1_pred_15.pdb	B=A,C=C,D=B,E=D
9	afm_basic_model_1_multimer_v1_pred_16.pdb	B=A,C=C,D=B,E=D
10	afm_basic_model_1_multimer_v1_pred_17.pdb	B=A,C=C,D=B,E=D
11	afm_basic_model_1_multimer_v1_pred_18.pdb	B=A,C=C,D=B,E=D
12	afm_basic_model_1_multimer_v1_pred_19.pdb	B=A,C=C,D=B,E=D
13	afm_basic_model_1_multimer_v1_pred_2.pdb	B=A,C=C,D=B,E=D
14	afm_basic_model_1_multimer_v1_pred_20.pdb	B=A,C=C,D=B,E=D
15	afm_basic_model_1_multimer_v1_pred_21.pdb	B=A,C=C,D=B,E=D
16	afm_basic_model_1_multimer_v1_pred_22.pdb	B=A,C=C,D=B,E=D
17	afm_basic_model_1_multimer_v1_pred_23.pdb	B=A,C=C,D=B,E=D
18	afm_basic_model_1_multimer_v1_pred_24.pdb	B=A,C=C,D=B,E=D
19	afm_basic_model_1_multimer_v1_pred_25.pdb	B=A,C=C,D=B,E=D
20	afm_basic_model_1_multimer_v1_pred_26.pdb	B=A,C=C,D=B,E=D
21	afm_basic_model_1_multimer_v1_pred_27.pdb	B=A,C=C,D=B,E=D
22	afm_basic_model_1_multimer_v1_pred_28.pdb	B=A,C=C,D=B,E=D
23	afm_basic_model_1_multimer_v1_pred_29.pdb	B=A,C=C,D=B,E=D
24	afm_basic_model_1_multimer_v1_pred_3.pdb	B=A,C=C,D=B,E=D
25	afm_basic_model_1_multimer_v1_pred_30.pdb	B=A,C=C,D=B,E=D
26	afm_basic_model_1_multimer_v1_pred_31.pdb	B=A,C=C,D=B,E=D
27	afm_basic_model_1_multimer_v1_pred_32.pdb	B=A,C=C,D=B,E=D
28	afm_basic_model_1_multimer_v1_pred_33.pdb	B=A,C=C,D=B,E=D
29	afm_basic_model_1_multimer_v1_pred_34.pdb	B=A,C=C,D=B,E=D
30	afm_basic_model_1_multimer_v1_pred_35.pdb	B=A,C=C,D=B,E=D
31	afm_basic_model_1_multimer_v1_pred_36.pdb	B=A,C=C,D=B,E=D
32	afm_basic_model_1_multimer_v1_pred_37.pdb	B=A,C=C,D=B,E=D
33	afm_basic_model_1_multimer_v1_pred_38.pdb	B=A,C=C,D=B,E=D
34	afm_basic_model_1_multimer_v1_pred_39.pdb	B=A,C=C,D=B,E=D
35	afm_basic_model_1_multimer_v1_pred_4.pdb	B=A,C=C,D=B,E=D
36	afm_basic_model_1_multimer_v1_pred_40.pdb	B=A,C=C,D=B,E=D
37	afm_basic_model_1_multimer_v1_pred_41.pdb	B=A,C=C,D=B,E=D
38	afm_basic_model_1_multimer_v1_pred_42.pdb	B=A,C=C,D=B,E=D
39	afm_basic_model_1_multimer_v1_pred_43.pdb	B=A,C=C,D=B,E=D
40	afm_basic_model_1_multimer_v1_pred_44.pdb	B=A,C=C,D=B,E=D
