input	target_atoms	model_atoms	total_input_atoms	CADscoreLT_global_score	CADscoreLT_remapped_global_score	CADscoreLT_refseq_global_score	CADscoreLT_iface_score	CADscoreLT_remapped_iface_score	CADscoreLT_refseq_iface_score	CADscoreLT_remapped_global_time	ost_ilddt	ost_qs_global	ost_qs_best	ost_ics	ost_ips	ost_dockq_ave	ost_dockq_wave	ost_dockq_ave_full	ost_dockq_wave_full	ost_tm_score
H0208TS015_2__H0208TS208_2	10188	5094	15282	0.383194	0.383345	0.383194	0.056007	0.056287	0.056007	0.48	0.101	0.205	0.348	0.127	0.256	0.149	0.149	0.03	0.06	0.404
H0208TS015_3__H0208TS187_1	10188	5092	15280	0.154011	0.154011	0.154011	0.04004	0.04004	0.04004	0.5	0.091	0.184	0.323	0.11	0.211	0.24	0.24	0.048	0.102	0.401
H0208TS022_1__H0208TS163_4	5094	10188	15282	0.842062	0.842062	0.842062	0.654895	0.654895	0.654895	0.47	0.784	0.414	0.851	0.475	0.361	0.587	0.587	0.587	0.587	0.95
H0208TS023_2__H0208TS393_5	5094	5094	10188	0.426573	0.426573	0.426573	0.010549	0.010549	0.010549	0.33	0.057	0.046	0.046	0.019	0.164	0.03	0.03	0.03	0.03	0.444
H0208TS023_2__H0208TS397_3	5094	5094	10188	0.427741	0.427741	0.427741	0.007344	0.007344	0.007344	0.32	0.058	0.048	0.048	0.019	0.172	0.03	0.03	0.03	0.03	0.448
H0208TS023_4__H0208TS419_3	5094	5094	10188	0.421471	0.421471	0.421471	0	0	0	0.33	0.012	0	0	0	0.168	0.02	0.02	0.02	0.02	0.428
H0208TS028_4__H0208TS311_4	20376	5094	25470	0.197277	0.206131	0.197277	0	0.103622	0	0.53	0.121	0.168	0.825	0.21	0.149	0.633	0.633	0.035	0.104	0.239
H0208TS040_2__H0208TS022_4	5094	5092	10186	0.68343	0.68343	0.68343	0.000135	0.000135	0.000135	0.3	0.112	0.034	0.034	0	0.333	0.086	0.086	0.086	0.086	0.686
H0208TS040_4__H0208TS301_1	5094	5094	10188	0.673138	0.673138	0.673138	0.01497	0.01497	0.01497	0.32	0.23	0.19	0.19	0.052	0.381	0.115	0.115	0.115	0.115	0.718
H0208TS051_1__H0208TS028_2	10188	20376	30564	0.576442	0.922872	0.892091	0	0.852173	0.355768	1.93	0.949	0.463	0.968	0.58	0.415	0.879	0.894	0.879	0.894	0.984
