target	model	t_id	m_id	residue_sites_cadscore	residue_sites_F1_of_areas	residue_sites_target_area	residue_sites_model_area	residue_sites_TP_area	residue_sites_FP_area	residue_sites_FN_area	chain_sites_cadscore	chain_sites_F1_of_areas	chain_sites_target_area	chain_sites_model_area	chain_sites_TP_area	chain_sites_FP_area	chain_sites_FN_area	renaming_of_model_chains	identity_of_residues	identity_of_atoms	identity_of_chains
9DXF-assembly1.cif	M1239v2TS462_4	215	202	0.703848	0.788112	24401.499013	24204.151308	20265.991327	6761.74871	4135.507686	0.892374	0.948935	24401.499013	27027.740037	24401.499013	2626.241024	0	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXF-assembly1.cif	M1239v1TS231_2	215	42	0.69652	0.77265	24401.499013	25385.503296	20634.416154	8376.169125	3767.082859	0.811115	0.913707	24401.499013	29010.585279	24401.499013	4609.086266	0	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXD-assembly1.cif	M1239v2TS462_4	214	202	0.694752	0.779268	24313.36364	24433.053119	20004.228993	7023.511044	4309.134647	0.888359	0.947131	24313.36364	27027.740037	24313.36364	2714.376397	0	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXD-assembly1.cif	M1239v1TS231_2	214	42	0.689088	0.762475	24313.36364	25509.041725	20329.090598	8681.494681	3984.273042	0.806805	0.911912	24313.36364	29010.585279	24313.36364	4697.22164	0	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXF-assembly1.cif	M1239v2TS033_5	215	120	0.688747	0.76115	24401.499013	22099.740168	19226.171814	6891.069371	5175.327199	0.929687	0.966038	24401.499013	26117.241185	24401.499013	1715.742172	0	A=F,B=B,C=C,D=D,E=E,F=A,G=G,H=H,I=I,J=J,K=K,L=L	100	100	100
9DXF-assembly1.cif	M1239v1TS231_1	215	41	0.688477	0.760243	24401.499013	25095.756878	20364.791304	8808.118291	4036.707709	0.804462	0.910939	24401.499013	29172.909595	24401.499013	4771.410582	0	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXF-assembly1.cif	M1239v1TS204_1	215	33	0.684799	0.7514	24401.499013	22925.209009	19551.089183	8086.521012	4850.40983	0.867381	0.937814	24401.499013	27637.610194	24401.499013	3236.111182	0	A=L,B=G,C=H,D=D,E=E,F=A,G=B,H=C,I=I,J=J,K=F,L=K	100	100	100
9DXF-assembly1.cif	M1239v2TS204_2	215	139	0.683877	0.751018	24401.499013	22930.750603	19542.776644	8099.172793	4858.722369	0.867203	0.937736	24401.499013	27641.949437	24401.499013	3240.450424	0	A=L,B=G,C=H,D=D,E=E,F=A,G=B,H=C,I=I,J=J,K=F,L=K	100	100	100
9DXD-assembly1.cif	M1239v2TS033_5	214	120	0.682231	0.751426	24313.36364	22122.420323	18947.424044	7169.817141	5365.939595	0.925807	0.96423	24313.36364	26117.241185	24313.36364	1803.877545	0	A=L,B=G,C=H,D=D,E=E,F=A,G=B,H=C,I=I,J=J,K=K,L=F	100	100	100
9DXF-assembly1.cif	M1239v1TS110_5	215	25	0.680941	0.767494	24401.499013	22042.033671	19113.560021	6292.634283	5287.938992	0.958826	0.979829	24401.499013	25406.194304	24401.499013	1004.695291	0	A=L,B=G,C=H,D=D,E=E,F=A,G=B,H=C,I=I,J=J,K=F,L=K	100	100	100
