input	cv1_target_residues	cv1_model_residues	cv1_target_atoms	cv1_model_atoms	cv3_target_atoms	cv3_model_atoms	cv4_target_atoms	cv4_model_atoms	old_global_score	voronota_js_global_score	cadscore_lt_global_score	cadscore_lt_global_f1	cadscore_lt_rm_global_score	cadscore_lt_rm_global_f1	cadscore_lt_r_global_score	cadscore_lt_r_global_f1	old_iface_score	voronota_js_iface_score	cadscore_lt_iface_score	cadscore_lt_iface_f1	cadscore_lt_rm_iface_score	cadscore_lt_rm_iface_f1	cadscore_lt_r_iface_score	cadscore_lt_r_iface_f1	old_global_time	voronota_js_global_time	cadscore_lt_global_time	cadscore_lt_rm_global_time	cadscore_lt_r_global_time	old_iface_time	voronota_js_iface_time	cadscore_lt_iface_time	cadscore_lt_rm_iface_time	cadscore_lt_r_iface_time	voronota_js_lt_global_score	voronota_js_lt_global_time	voronota_js_lt_iface_score	voronota_js_lt_iface_time
H0208TS015_2__H0208TS208_2	1292	646	10188	5094	10188	5094	10188	5094	0.391088	0.38354	0.383194	0.551134	0.383345	0.551328	0.383194	0.551134	0.0573586	0.05551	0.056007	0.099649	0.056287	0.099934	0.056007	0.099649	9.20	11.01	0.44	0.48	0.48	8.65	0.99	0.10	0.13	0.13	0.38319	1.42	0.05601	0.43
H0208TS015_3__H0208TS187_1	1292	646	10188	5092	10188	5092	10188	5092	0.157686	0.15333	0.154011	0.299548	0.154011	0.299548	0.154011	0.299548	0.0347853	0.04059	0.04004	0.075608	0.04004	0.075608	0.04004	0.075608	9.04	11.21	0.45	0.50	0.47	8.85	1.30	0.11	0.14	0.12	0.15401	1.43	0.04004	0.45
H0208TS022_1__H0208TS163_4	646	1292	5094	10188	5094	10188	5094	10188	0.84542	0.84216	0.842062	0.589678	0.842062	0.589678	0.842062	0.589678	0.651069	0.65638	0.654895	0.443276	0.654895	0.443276	0.654895	0.443276	9.42	11.29	0.45	0.47	0.47	8.96	1.30	0.12	0.14	0.13	0.84206	1.38	0.6549	0.43
H0208TS023_2__H0208TS393_5	646	646	5094	5094	5094	5094	5094	5094	0.460401	0.42807	0.426573	0.49258	0.426573	0.49258	0.426573	0.49258	0.0155084	0.01052	0.010549	0.013146	0.010549	0.013146	0.010549	0.013146	5.55	6.72	0.29	0.33	0.32	4.40	0.68	0.07	0.08	0.08	0.42657	0.92	0.01055	0.31
H0208TS023_2__H0208TS397_3	646	646	5094	5094	5094	5094	5094	5094	0.460516	0.42934	0.427741	0.494268	0.427741	0.494268	0.427741	0.494268	0.0119665	0.00731	0.007344	0.010446	0.007344	0.010446	0.007344	0.010446	5.60	6.97	0.29	0.32	0.32	5.01	0.68	0.07	0.08	0.08	0.42774	0.93	0.00734	0.28
H0208TS023_4__H0208TS419_3	646	646	5094	5094	5094	5094	5094	5094	0.45601	0.42346	0.421471	0.493224	0.421471	0.493224	0.421471	0.493224	0	0	0	0	0	0	0	0	5.48	6.96	0.29	0.33	0.31	5.23	0.67	0.07	0.09	0.09	0.42147	0.94	0	0.28
H0208TS028_4__H0208TS311_4	2584	646	20376	5094	20376	5094	20376	5094	0.200563	0.19742	0.197277	0.335699	0.206131	0.35121	0.197277	0.335699	0	0	0	0	0.103622	0.19864	0	0	16.22	19.53	0.74	0.53	0.81	14.08	3.06	0.19	0.23	0.23	0.19728	2.38	0	0.77
H0208TS040_2__H0208TS022_4	646	646	5094	5092	5094	5092	5094	5092	0.682289	0.68317	0.68343	0.773739	0.68343	0.773739	0.68343	0.773739	0.000531215	0.00013	0.000135	0.000089	0.000135	0.000089	0.000135	0.000089	5.48	7.29	0.31	0.30	0.34	5.40	0.44	0.06	0.08	0.09	0.68343	0.97	0.00014	0.28
H0208TS040_4__H0208TS301_1	646	646	5094	5094	5094	5094	5094	5094	0.679037	0.67365	0.673138	0.766974	0.673138	0.766974	0.673138	0.766974	0.0125317	0.01552	0.01497	0.033145	0.01497	0.033145	0.01497	0.033145	5.13	6.91	0.30	0.32	0.31	5.54	0.55	0.07	0.08	0.08	0.67314	0.95	0.01497	0.28
H0208TS051_1__H0208TS028_2	1292	2584	10188	20376	10188	20376	10188	20376	0.594941	0.57709	0.576442	0.414432	0.922872	0.635184	0.892091	0.613543	0	0	0	0	0.852173	0.564987	0.355768	0.235585	19.34	23.95	0.98	1.93	1.02	18.38	2.98	0.23	0.41	0.28	0.57644	2.92	0	0.89
