name	threshold_10	threshold_20	threshold_30	threshold_40	threshold_50	threshold_60	threshold_70	threshold_80	threshold_90
M1239v1TS014_1	1	1	1	1	3	4	3	2	1
M1239v1TS014_2	1	1	1	1	3	4	3	2	1
M1239v1TS014_3	1	1	1	1	3	4	3	2	1
M1239v1TS014_4	1	1	1	1	3	4	3	2	1
M1239v1TS014_5	1	1	1	1	3	4	3	2	1
M1239v1TS014_6	1	1	1	1	3	4	3	2	1
M1239v1TS028_1	1	1	1	1	1	1	6	3	41
M1239v1TS028_2	1	1	1	1	1	1	6	3	42
M1239v1TS028_3	1	1	1	1	1	1	6	3	43
M1239v1TS028_4	1	1	1	1	1	1	1	3	44
M1239v1TS028_5	1	1	1	1	1	2	8	15	8
M1239v1TS033_1	1	1	1	1	1	1	5	5	4
M1239v1TS033_2	1	1	1	1	1	1	2	12	45
M1239v1TS033_3	1	1	1	1	1	6	28	41	46
M1239v1TS033_4	1	1	1	1	1	1	1	7	47
M1239v1TS033_5	1	1	1	1	1	1	5	42	48
M1239v1TS091_1	1	1	1	1	1	1	1	16	9
M1239v1TS091_2	1	1	1	1	1	1	1	17	10
M1239v1TS091_3	1	1	1	1	1	1	2	4	11
M1239v1TS091_4	1	1	1	1	1	1	1	1	12
M1239v1TS091_5	1	1	1	1	1	6	15	18	13
M1239v1TS110_1	1	1	1	1	1	1	1	1	49
M1239v1TS110_2	1	1	1	1	1	1	6	3	50
M1239v1TS110_3	1	1	1	1	1	1	1	1	51
M1239v1TS110_4	1	1	1	1	1	7	11	19	14
M1239v1TS110_5	1	1	1	1	1	10	16	20	15
M1239v1TS159_1	1	1	1	1	1	1	1	1	5
M1239v1TS159_2	1	1	1	1	1	1	1	9	3
M1239v1TS167_1	1	1	1	1	1	1	2	4	16
M1239v1TS167_2	1	1	1	1	1	1	2	6	17
M1239v1TS167_3	1	1	1	1	1	8	9	21	18
M1239v1TS167_4	1	1	1	1	1	1	2	6	19
M1239v1TS167_5	1	1	1	1	1	1	9	22	20
M1239v1TS204_1	1	1	1	1	5	9	17	23	21
M1239v1TS204_2	1	1	1	1	1	1	1	10	22
M1239v1TS204_3	1	1	1	1	1	1	2	4	52
M1239v1TS204_4	1	1	1	1	1	7	29	43	53
M1239v1TS204_5	1	1	1	1	1	1	1	10	54
M1239v1TS208_1	1	1	1	1	1	1	1	7	55
M1239v1TS208_2	1	1	1	1	1	1	1	1	56
M1239v1TS208_4	1	1	1	1	1	1	1	1	57
M1239v1TS231_1	1	1	1	1	1	1	12	24	58
M1239v1TS231_2	1	1	1	1	1	8	12	24	59
M1239v1TS235_1	1	1	1	1	1	1	1	1	60
M1239v1TS235_2	1	1	1	1	1	1	1	7	61
M1239v1TS235_3	1	1	1	1	1	1	1	7	62
M1239v1TS235_4	1	1	1	1	1	1	1	44	63
M1239v1TS235_5	1	1	1	1	1	1	1	7	64
M1239v1TS241_1	1	2	2	2	2	3	4	45	65
M1239v1TS241_2	1	2	2	2	2	5	7	8	66
M1239v1TS241_3	1	1	2	2	2	3	4	13	67
M1239v1TS241_4	1	2	2	2	2	5	7	8	68
M1239v1TS241_5	1	2	2	2	2	5	7	8	23
M1239v1TS262_1	1	1	1	1	1	1	18	25	24
M1239v1TS262_2	1	1	1	1	1	1	1	26	25
M1239v1TS262_3	1	1	1	1	1	1	18	25	24
M1239v1TS262_4	1	1	1	1	1	1	2	46	69
M1239v1TS262_5	1	1	1	1	1	1	1	26	25
M1239v1TS272_1	1	1	3	4	6	11	19	27	26
M1239v1TS272_2	1	1	3	3	4	12	20	28	27
M1239v1TS272_3	1	1	3	3	7	13	21	29	28
M1239v1TS272_4	1	1	3	3	4	14	22	30	29
M1239v1TS272_5	1	1	4	5	8	15	23	31	30
M1239v1TS286_1	1	1	1	1	1	1	2	47	70
M1239v1TS286_2	1	1	1	1	1	7	11	48	71
M1239v1TS286_3	1	1	1	1	1	1	2	49	72
M1239v1TS286_4	1	1	1	1	1	1	1	10	73
M1239v1TS286_5	1	1	1	1	1	9	13	50	74
M1239v1TS294_1	1	1	1	1	1	1	1	51	75
M1239v1TS294_2	1	1	1	1	1	1	2	4	76
M1239v1TS294_3	1	1	1	1	1	1	2	4	77
M1239v1TS294_4	1	1	1	1	1	1	1	1	6
M1239v1TS294_5	1	1	1	1	1	1	1	1	78
M1239v1TS304_1	1	2	2	2	2	5	7	8	23
M1239v1TS304_2	1	2	2	2	2	3	4	52	79
M1239v1TS304_3	1	2	2	2	2	5	7	8	80
M1239v1TS304_4	1	2	2	2	2	3	4	13	81
M1239v1TS304_5	1	2	2	2	2	3	30	53	82
M1239v1TS325_1	1	1	1	1	1	1	1	1	5
M1239v1TS325_2	1	1	1	1	1	1	1	9	3
M1239v1TS369_1	1	1	1	1	1	1	2	32	31
M1239v1TS369_2	1	1	1	1	1	1	10	33	32
M1239v1TS369_3	1	1	1	1	1	1	2	6	33
M1239v1TS369_4	1	1	1	1	1	1	10	34	34
M1239v1TS369_5	1	1	1	1	1	1	1	4	35
M1239v1TS450_1	1	1	1	1	1	1	2	4	16
M1239v1TS450_2	1	1	1	1	1	1	2	6	17
M1239v1TS450_3	1	1	1	1	1	8	9	21	18
M1239v1TS450_4	1	1	1	1	1	1	2	6	19
M1239v1TS450_5	1	1	1	1	1	1	9	22	20
M1239v1TS462_1	1	1	1	1	1	1	1	54	83
M1239v1TS462_2	1	1	1	1	1	1	2	12	84
M1239v1TS462_3	1	1	1	1	1	1	5	55	85
M1239v1TS462_4	1	1	1	1	1	1	1	1	86
M1239v1TS462_5	1	1	1	1	1	1	1	1	87
M1239v1TS481_1	1	1	1	1	1	1	1	1	88
M1239v1TS481_2	1	1	1	1	1	1	1	7	89
M1239v1TS481_3	1	1	1	1	1	1	1	1	90
M1239v1TS481_4	1	1	1	1	1	1	1	1	6
M1239v1TS481_5	1	1	1	1	1	1	1	56	91
M1239v1TS489_1	1	1	1	1	1	1	1	1	92
M1239v1TS489_2	1	1	1	1	1	1	1	1	93
M1239v1TS489_3	1	1	1	1	1	1	1	1	94
M1239v1TS489_4	1	1	1	1	1	1	1	1	95
M1239v1TS489_5	1	1	1	1	1	1	1	35	96
M1239v2TS014_1	1	1	1	1	3	4	3	2	97
M1239v2TS014_2	1	1	1	1	3	4	3	2	2
M1239v2TS014_3	1	1	1	1	3	4	3	2	2
M1239v2TS014_4	1	1	1	1	3	4	3	2	2
M1239v2TS014_5	1	1	1	1	3	4	3	2	2
M1239v2TS014_6	1	1	1	1	3	4	3	2	2
